Date: ,Fund: ,Abbreviation: ,Price: ,Rise/Descend: ,Percentage Change: 
03/12/2020,PUBLIC ADVANTAGE GROWTH EQUITY FUND,PAVGEF,0.3007,0.0046,1.55%
03/12/2020,PUBLIC AGGRESSIVE GROWTH FUND,PAGF,0.6103,0.0090,1.50%
03/12/2020,PUBLIC ASEAN GROWTH FUND,PASGF,0.2465,0.0016,0.65%
03/12/2020,PUBLIC ASIA ITTIKAL FUND,PAIF,0.4780,0.0032,0.67%
03/12/2020,PUBLIC AUSTRALIA EQUITY FUND,PAUEF,0.2531,0.0026,1.04%
03/12/2020,PUBLIC BALANCED FUND,PBF,0.6944,0.0066,0.96%
03/12/2020,PUBLIC BOND FUND,PBOND,0.9729,0.0003,0.03%
03/12/2020,PUBLIC CHINA ACCESS EQUITY FUND,PCASEF,1.4455,-0.0023,-0.16%
03/12/2020,PUBLIC CHINA ITTIKAL FUND,PCIF,0.3990,0.0033,0.83%
03/12/2020,PUBLIC CHINA SELECT FUND,PCSF,0.4011,0.0018,0.45%
03/12/2020,PUBLIC CHINA TITANS FUND,PCTF,0.3520,0.0018,0.51%
03/12/2020,PUBLIC DIVIDEND SELECT FUND,PDSF,0.2479,0.0028,1.14%
03/12/2020,PUBLIC e-ARTIFICIAL INTELLIGENCE TECHNOLOGY FUND,PeAITF,0.2681,0.0007,0.26%
03/12/2020,PUBLIC e-ASIA PACIFIC REITs FLEXI FUND,PeAPREITF,0.2857,0.0021,0.74%
04/12/2020,PUBLIC e-CASH DEPOSIT FUND,PeCDF,1.0007,0.0001,0.01%
04/12/2020,PUBLIC e-ENHANCED MONEY MARKET FUND,PeEMMF,1.0115,0.0000,0.00%
03/12/2020,PUBLIC e-FLEXI ALLOCATION FUND,PeFAF,0.3510,0.0034,0.98%
03/12/2020,PUBLIC EHSAN MIXED ASSET CONSERVATIVE FUND,PESMACF,0.3308,0.0002,0.06%
03/12/2020,PUBLIC EHSAN MIXED ASSET GROWTH FUND,PESMAGF,0.3826,0.0016,0.42%
04/12/2020,PUBLIC e-INCOME FUND,PeINCF,1.0041,0.0000,0.00%
04/12/2020,PUBLIC e-ISLAMIC CASH DEPOSIT FUND,PeICDF,1.0003,0.0001,0.01%
03/12/2020,PUBLIC e-ISLAMIC FLEXI ALLOCATION FUND,PeIFAF,0.3455,0.0018,0.52%
04/12/2020,PUBLIC e-ISLAMIC INCOME FUND,PeISINCF,1.0029,0.0000,0.00%
03/12/2020,PUBLIC e-ISLAMIC SUSTAINABLE MILLENNIAL FUND,PeISMF,0.3190,-0.0006,-0.19%
03/12/2020,PUBLIC EMERGING OPPORTUNITIES FUND,PEMOF,0.4341,0.0027,0.63%
